name,company,year_num,car_age,price,kms_driven_num,fuel_type,price_segment,kms_segment,has_price
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,19,80000,45000,Petrol,0-100k,25k-50k,True
Mahindra Jeep CL550 MDI,Mahindra,2006,20,425000,40,Diesel,300k-500k,0-25k,True
Maruti Suzuki Alto 800 Vxi,Maruti,2018,8,,22000,Petrol,No price,0-25k,False
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,12,325000,28000,Petrol,300k-500k,25k-50k,True
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,12,575000,36000,Diesel,500k-800k,25k-50k,True
Ford EcoSport Titanium 1.5L TDCi,Ford,2015,11,,59000,Diesel,No price,50k-100k,False
Ford Figo,Ford,2012,14,175000,41000,Diesel,100k-300k,25k-50k,True
Hyundai Eon,Hyundai,2013,13,190000,25000,Petrol,100k-300k,25k-50k,True
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,10,830000,24530,Diesel,800k+,0-25k,True
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,11,250000,60000,Petrol,100k-300k,50k-100k,True
Skoda Fabia Classic 1.2 MPI,Skoda,2010,16,182000,60000,Petrol,100k-300k,50k-100k,True
Maruti Suzuki Stingray VXi,Maruti,2015,11,315000,30000,Petrol,300k-500k,25k-50k,True
Hyundai Elite i20 Magna 1.2,Hyundai,2014,12,415000,32000,Petrol,300k-500k,25k-50k,True
Mahindra Scorpio SLE BS IV,Mahindra,2015,11,320000,48660,Diesel,300k-500k,25k-50k,True
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,19,80000,45000,Petrol,0-100k,25k-50k,True
Mahindra Jeep CL550 MDI,Mahindra,2006,20,425000,40,Diesel,300k-500k,0-25k,True
Audi A8,Audi,2017,9,1000000,4000,Petrol,800k+,0-25k,True
Audi Q7,Audi,2014,12,500000,16934,Diesel,500k-800k,0-25k,True
Mahindra Scorpio S10,Mahindra,2016,10,350000,43000,Diesel,300k-500k,25k-50k,True
Maruti Suzuki Alto 800,Maruti,2014,12,160000,35550,Petrol,100k-300k,25k-50k,True
Mahindra Scorpio S10,Mahindra,2016,10,350000,43000,Diesel,300k-500k,25k-50k,True
Mahindra Scorpio S10,Mahindra,2016,10,310000,39522,Diesel,300k-500k,25k-50k,True
Maruti Suzuki Alto 800 Vxi,Maruti,2015,11,75000,39000,Petrol,0-100k,25k-50k,True
Hyundai i20 Sportz 1.2,Hyundai,2012,14,100000,55000,Petrol,100k-300k,50k-100k,True
Hyundai i20 Sportz 1.2,Hyundai,2012,14,100000,55000,Petrol,100k-300k,50k-100k,True
Hyundai i20 Sportz 1.2,Hyundai,2012,14,100000,55000,Petrol,100k-300k,50k-100k,True
Maruti Suzuki Alto 800 Lx,Maruti,2017,9,190000,72000,Petrol,100k-300k,50k-100k,True
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,10,290000,15975,Diesel,100k-300k,0-25k,True
Maruti Suzuki Alto LX,Maruti,2008,18,95000,70000,Petrol,0-100k,50k-100k,True
